Message 143: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000073 sec
Message 144: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000051 sec
Message 145: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000043 sec
Message 146: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000051 sec
Message 147: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000055 sec
Message 148: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000052 sec
Message 149: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000048 sec
Message 150: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000037 sec
Message 151: Sent 1400 bytes, Received 1154 bytes, RTT: 0.000045 sec
Message 152: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000044 sec
Message 153: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000045 sec
Message 154: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000047 sec
Message 155: Sent 1400 bytes, Received 1074 bytes, RTT: 0.000038 sec
Message 156: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000042 sec
Message 157: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000038 sec
Message 158: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000033 sec
Message 159: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000043 sec
Message 160: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000048 sec
Message 161: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000053 sec
Message 162: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000042 sec
Message 163: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000059 sec
Message 164: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000070 sec
Message 165: Sent 1400 bytes, Received 1094 bytes, RTT: 0.000033 sec
Message 166: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000047 sec
Message 167: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000046 sec
Message 168: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000045 sec
Message 169: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000050 sec
Message 170: Sent 1400 bytes, Received 40 bytes, RTT: 0.000032 sec
Message 171: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000037 sec
Message 172: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000039 sec
Message 173: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000034 sec
Message 174: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000041 sec
Message 175: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000052 sec
Message 176: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000073 sec
Message 177: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000050 sec
Message 178: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000046 sec
Message 179: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000055 sec
Message 180: Sent 1400 bytes, Received 1094 bytes, RTT: 0.000058 sec
Message 181: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000044 sec
Message 182: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000051 sec
Message 183: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000052 sec
Message 184: Sent 1400 bytes, Received 646 bytes, RTT: 0.000040 sec
Message 185: Sent 1400 bytes, Received 386 bytes, RTT: 0.000036 sec
Message 186: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000043 sec
Message 187: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000038 sec
Message 188: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000058 sec
Message 189: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000048 sec
Message 190: Sent 1400 bytes, Received 1074 bytes, RTT: 0.000039 sec
Message 191: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000044 sec
Message 192: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000039 sec
Message 193: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000053 sec
Message 194: Sent 1400 bytes, Received 20 bytes, RTT: 0.000034 sec
Message 195: Sent 1400 bytes, Received 2048 bytes, RTT: 0.000038 sec
Message 196: Sent 1400 bytes, Received 1054 bytes, RTT: 0.000072 sec
Message 197: Sent 1400 bytes, Received 1034 bytes, RTT: 0.000074 sec
